"","code","game_type","rival","pay_competitive","n"
"258","sujeto_0025948","individual","4","4",5
"259","sujeto_0026622","competitive","1","1",4
"260","sujeto_0026622","competitive","1","2",8
"261","sujeto_0026622","competitive","1","3",8
"262","sujeto_0026622","competitive","1","4",7
"263","sujeto_0026622","competitive","2","1",6
"264","sujeto_0026622","competitive","2","2",8
"265","sujeto_0026622","competitive","2","3",8
"266","sujeto_0026622","competitive","2","4",8
"267","sujeto_0026622","competitive","3","1",6
"268","sujeto_0026622","competitive","3","2",6
"269","sujeto_0026622","competitive","3","3",8
"270","sujeto_0026622","competitive","3","4",7
"271","sujeto_0026622","competitive","4","1",3
"272","sujeto_0026622","competitive","4","2",7
"273","sujeto_0026622","competitive","4","3",5
"274","sujeto_0026622","competitive","4","4",7
"275","sujeto_0026622","individual","1","1",4
"276","sujeto_0026622","individual","1","4",1
"277","sujeto_0026622","individual","2","1",2
"278","sujeto_0026622","individual","3","1",2
"279","sujeto_0026622","individual","3","2",2
"280","sujeto_0026622","individual","3","4",1
"281","sujeto_0026622","individual","4","1",5
"282","sujeto_0026622","individual","4","2",1
"283","sujeto_0026622","individual","4","3",3
"284","sujeto_0026622","individual","4","4",1
"285","sujeto_0027033","competitive","1","1",8
"286","sujeto_0027033","competitive","1","2",8
"287","sujeto_0027033","competitive","1","3",8
"288","sujeto_0027033","competitive","1","4",8
"289","sujeto_0027033","competitive","2","1",8
"290","sujeto_0027033","competitive","2","2",8
"291","sujeto_0027033","competitive","2","3",8
"292","sujeto_0027033","competitive","2","4",8
"293","sujeto_0027033","competitive","3","1",8
"294","sujeto_0027033","competitive","3","2",8
"295","sujeto_0027033","competitive","3","3",8
"296","sujeto_0027033","competitive","3","4",8
"297","sujeto_0027033","competitive","4","1",8
"298","sujeto_0027033","competitive","4","2",8
"299","sujeto_0027033","competitive","4","3",8
"300","sujeto_0027033","competitive","4","4",8
"301","sujeto_0027042","competitive","1","1",7
"302","sujeto_0027042","competitive","1","2",8
"303","sujeto_0027042","competitive","1","3",8
"304","sujeto_0027042","competitive","1","4",7
"305","sujeto_0027042","competitive","2","1",8
"306","sujeto_0027042","competitive","2","2",8
"307","sujeto_0027042","competitive","2","3",8
"308","sujeto_0027042","competitive","2","4",7
"309","sujeto_0027042","competitive","3","1",6
"310","sujeto_0027042","competitive","3","2",6
"311","sujeto_0027042","competitive","3","3",7
"312","sujeto_0027042","competitive","3","4",7
"313","sujeto_0027042","competitive","4","1",2
"314","sujeto_0027042","competitive","4","2",4
"315","sujeto_0027042","competitive","4","3",5
"316","sujeto_0027042","competitive","4","4",7
"317","sujeto_0027042","individual","1","4",1
"318","sujeto_0027042","individual","2","4",1
"319","sujeto_0027042","individual","3","1",2
"320","sujeto_0027042","individual","3","2",2
"321","sujeto_0027042","individual","3","3",1
"322","sujeto_0027042","individual","3","4",1
"323","sujeto_0027042","individual","4","1",6
"324","sujeto_0027042","individual","4","2",4
"325","sujeto_0027042","individual","4","3",3
"326","sujeto_0027042","individual","4","4",1
"327","sujeto_0027510","competitive","1","1",8
"328","sujeto_0027510","competitive","1","2",8
"329","sujeto_0027510","competitive","1","3",8
"330","sujeto_0027510","competitive","1","4",8
"331","sujeto_0027510","competitive","2","1",7
"332","sujeto_0027510","competitive","2","2",8
"333","sujeto_0027510","competitive","2","3",8
"334","sujeto_0027510","competitive","2","4",8
"335","sujeto_0027510","competitive","3","1",2
"336","sujeto_0027510","competitive","3","2",5
"337","sujeto_0027510","competitive","3","3",6
"338","sujeto_0027510","competitive","3","4",8
"339","sujeto_0027510","competitive","4","1",3
"340","sujeto_0027510","competitive","4","2",2
"341","sujeto_0027510","competitive","4","3",5
"342","sujeto_0027510","competitive","4","4",4
"343","sujeto_0027510","individual","2","1",1
"344","sujeto_0027510","individual","3","1",6
"345","sujeto_0027510","individual","3","2",3
"346","sujeto_0027510","individual","3","3",2
"347","sujeto_0027510","individual","4","1",5
"348","sujeto_0027510","individual","4","2",6
"349","sujeto_0027510","individual","4","3",3
"350","sujeto_0027510","individual","4","4",4
"351","sujeto_0028207","competitive","1","1",7
"352","sujeto_0028207","competitive","1","2",8
"353","sujeto_0028207","competitive","1","3",6
"354","sujeto_0028207","competitive","1","4",8
"355","sujeto_0028207","competitive","2","1",6
"356","sujeto_0028207","competitive","2","2",8
"357","sujeto_0028207","competitive","2","3",8
"358","sujeto_0028207","competitive","2","4",8
"359","sujeto_0028207","competitive","3","1",6
"360","sujeto_0028207","competitive","3","2",5
"361","sujeto_0028207","competitive","3","3",7
"362","sujeto_0028207","competitive","3","4",6
"363","sujeto_0028207","competitive","4","1",4
"364","sujeto_0028207","competitive","4","2",6
"365","sujeto_0028207","competitive","4","3",4
"366","sujeto_0028207","competitive","4","4",7
"367","sujeto_0028207","individual","1","1",1
