"codigo","Espectativa_propia","Espectativa_otros","Felicidad_1estrella","Felicidad_2estrellas ","Felicidad_3estrellas ","Felicidad_4estrellas ","Alivio_1estrella","Alivio_2estrellas","Alivio_3estrellas","Alivio_4estrellas","Vergüenza_1estrella","Vergüenza_2estrellas","Vergüenza_3estrellas","Vergüenza_4estrellas","Nerviosismo_1estrella","Nerviosismo_2estrellas","Nerviosismo_3estrellas","Nerviosismo_4estrellas","Tristeza_1estrella","Tristeza_2estrellas","Tristeza_3estrellas","Tristeza_4estrellas","Felicidad_bb","Felicidad_bm","Felicidad_mb","Felicidad_mm","Culpa_bb","Culpa_bm","Culpa_mb","Culpa_mm","Decepcion_bb","Decepcion_bm","Decepcion_mb","Decepcion_mm","Enojo_bb","Enojo_bm","Enojo_mb","Enojo_mm","Tristeza_bb","Tristeza_bm","Tristeza_mb","Tristeza_mm","Alivio_bb","Alivio_bm","Alivio_mb","Alivio_mm","Vergüenza_bb","Vergüenza_bm","Vergüenza_mb","Vergüenza_mm","Nerviosismo_bb","Nerviosismo_bm","Nerviosismo_mb","Nerviosismo_mm","Feliz","Enojada","Nerviosa","Triste","Culpable","Avergonzada","Decepcionada","Aliviada","Rendimiento_pos_propio","Rendimiento_pos_otros"
"sujeto_c21b1e4c",4,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,3,5
"sujeto_1fe7250f",1,7,6,5,5,4,8,6,4,0,0,2,3,7,1,1,2,4,0,0,1,1,4,7,1,6,0,0,2,0,0,0,3,0,1,0,5,0,1,0,7,0,4,8,0,8,0,0,7,0,3,1,6,0,0,0,7,0,0,6,1,0,3,6
"sujeto_c3d9e000",2,6,0,0,0,0,0,0,0,0,0,1,1,4,5,5,6,6,2,2,3,3,0,3,0,0,0,0,0,0,3,0,7,5,3,0,4,3,0,0,1,1,2,6,0,4,0,0,0,0,0,1,6,5,0,0,7,1,0,7,1,0,4,4
"sujeto_02de544a",3,5,3,3,3,3,5,5,3,3,2,2,2,2,3,3,6,6,1,1,3,3,3,4,0,0,0,0,0,0,2,0,4,4,1,0,3,2,1,0,3,1,3,5,1,2,0,0,2,1,0,0,3,2,1,0,2,0,0,2,2,1,3,6
"sujeto_c5ce680d",3,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,4,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5
"sujeto_4541440b",3,4,3,2,1,1,4,2,0,0,0,0,2,3,0,0,1,2,0,0,0,0,4,5,2,3,0,0,0,0,0,0,3,2,0,0,4,2,0,0,0,1,1,2,0,1,0,0,5,2,0,0,1,0,5,0,1,0,0,2,0,2,2,4
"sujeto_b7fbb303",2,6,1,2,1,1,4,3,1,1,0,0,3,4,0,1,3,3,0,0,0,0,2,2,0,0,0,0,3,0,0,0,6,3,0,6,6,5,0,0,0,0,4,4,1,2,0,0,2,1,0,0,2,2,1,1,3,0,0,5,5,1,2,5
"sujeto_d72d8a7c",3,6,2,2,4,6,6,5,3,2,2,2,2,3,1,1,2,3,1,1,2,3,4,6,2,3,1,0,4,3,1,0,5,4,1,0,4,3,1,0,3,2,3,5,0,1,0,0,1,0,0,0,2,1,1,0,6,0,0,6,1,0,1,5
"sujeto_e844afe8",5,6,4,5,5,7,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,5,7,0,7,0,6,7,0,0,0,6,5,0,0,8,5,0,0,6,3,8,8,0,5,0,2,6,4,0,0,5,3,8,0,8,0,0,6,3,0,0,8
"sujeto_11124bad",2,5,3,3,6,7,3,3,1,0,0,0,2,4,0,2,3,6,0,0,0,0,5,6,1,1,0,2,0,0,0,2,4,0,0,0,3,2,0,1,2,1,4,5,0,2,0,0,3,0,0,0,1,0,5,0,6,0,0,2,0,5,2,3
"sujeto_077f2b56",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
"sujeto_4ca6cef4",3,5,2,2,1,1,5,4,1,0,0,1,1,2,2,3,4,4,0,0,0,0,3,6,0,3,0,0,3,0,0,0,4,3,0,0,5,4,0,0,3,2,5,8,0,3,0,0,6,4,0,0,5,4,3,0,5,0,0,2,2,2,3,5
"sujeto_e9ec652d",4,4,1,1,1,1,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,4,4,4,4,1,0,3,0,0,1,1,0,2,6
"sujeto_eafb7359",4,4,6,6,4,1,8,4,4,0,1,4,8,8,4,4,6,8,2,2,6,6,6,5,1,6,0,0,0,0,1,1,7,4,0,0,4,4,1,1,4,4,8,5,1,5,0,3,8,8,8,8,8,8,3,3,8,1,2,6,4,4,1,7
"sujeto_6462fbbc",3,4,8,8,8,8,8,8,8,7,0,0,0,0,0,0,0,2,0,0,0,0,8,6,6,5,0,1,0,0,0,0,2,4,0,0,1,0,0,0,0,1,8,7,4,4,0,0,1,0,0,0,1,0,8,0,0,0,1,1,0,7,4,4
"sujeto_e1314c94",4,4,4,4,5,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3
"sujeto_282108e8",1,3,3,2,0,1,4,3,0,2,0,0,0,1,1,2,0,4,1,2,0,4,5,4,0,4,0,0,7,6,0,0,7,6,0,0,8,6,0,0,6,5,8,8,0,2,0,0,8,6,0,0,5,3,2,0,1,0,0,8,0,1,1,5
"sujeto_ef8a4539",4,5,6,5,5,6,7,6,6,3,1,5,5,6,2,3,3,5,0,0,0,1,5,7,2,3,0,2,0,0,0,0,2,0,1,0,2,0,0,0,1,0,3,1,0,1,0,0,2,0,0,0,1,0,4,0,2,0,0,1,0,1,4,5
"sujeto_e9306fb7",6,8,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,4,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,4
"sujeto_529b55b0",3,6,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,6
"sujeto_116e70e6",7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sujeto_72b8e12c",2,5,8,6,5,4,6,6,4,2,0,0,1,5,0,0,2,4,1,0,0,0,5,7,2,4,0,1,0,0,0,0,6,0,0,0,3,0,0,0,4,0,6,5,0,5,0,0,6,0,0,0,2,0,3,0,5,0,0,2,0,3,3,5
"sujeto_80570e8a",4,4,0,0,0,0,8,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,0,0,3,0,0,0,2,1,0,0,1,0,4,6,0,2,0,0,3,0,0,0,2,1,0,0,1,0,0,1,0,0,3,4
"sujeto_61b0c637",5,5,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1,0,0,0,0,4,2,2,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,1,1,2,0,1,0,0,1,0,0,2,5
"sujeto_9ae17e76",3,6,2,3,1,1,6,4,3,2,3,3,4,5,1,1,2,3,0,0,0,0,2,6,1,2,0,0,0,0,2,0,3,2,1,0,1,1,0,0,2,1,2,3,1,2,1,1,4,3,1,0,4,2,4,1,3,1,0,1,0,0,3,6
"sujeto_8e872371",5,6,8,8,7,1,8,7,6,1,0,1,3,3,1,1,3,6,0,1,3,8,8,8,3,1,0,0,6,1,0,0,8,8,0,0,7,7,0,0,7,7,8,8,0,0,0,0,6,2,0,0,3,2,1,0,7,0,0,3,0,0,4,5
"sujeto_18c10e9c",5,6,6,6,5,5,6,6,5,5,1,1,1,2,1,1,1,1,0,0,0,0,5,4,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,2,2,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,2,4,6
"sujeto_33dcff34",4,5,3,3,5,7,4,4,3,3,0,1,2,3,2,2,3,5,0,0,0,0,4,5,3,3,0,0,0,0,0,0,5,4,0,0,3,2,0,0,1,1,6,8,1,1,0,0,4,0,1,2,4,3,4,0,5,0,2,3,1,4,3,5
"sujeto_2736348d",3,7,5,4,4,2,5,4,4,1,1,2,4,8,1,2,5,8,0,0,1,1,6,8,2,5,0,0,4,0,0,0,6,3,0,0,3,0,0,0,2,1,8,8,0,3,0,0,8,8,0,0,5,4,0,0,8,0,0,8,3,0,0,5
"sujeto_6fce57c3",4,6,3,3,6,5,5,5,5,4,0,1,1,5,4,4,4,5,0,0,0,0,7,3,3,1,0,3,0,0,0,1,0,2,0,0,0,0,0,3,0,0,7,3,3,0,0,6,2,2,1,7,3,1,8,0,6,0,0,2,0,1,4,6
