codigo,contrast,mean_38_14_24
SUJETO_A90BAD1A,con_0004,0.714741859403325
SUJETO_DABE6ACB,con_0004,-0.221681595129733
SUJETO_0000621,con_0005,0.366359762536983
SUJETO_0005719,con_0005,-0.117302924471123
SUJETO_0006562,con_0005,-0.363918529446492
SUJETO_0012643,con_0005,0.100927740315589
SUJETO_0014011,con_0005,-1.19829092083908
SUJETO_0014895,con_0005,-0.0721414476695539
SUJETO_0016883,con_0005,0.468485586294087
SUJETO_0020285,con_0005,-0.522049159841324
SUJETO_0020703,con_0005,0.732390211365087
SUJETO_0020974,con_0005,-1.04330659700118
SUJETO_0025948,con_0005,0.187623725662659
SUJETO_0026622,con_0005,-0.628841733423675
SUJETO_0027033,con_0005,0.312762958417378
SUJETO_0027510,con_0005,-0.456676537943322
SUJETO_0028207,con_0005,0.390566992626442
SUJETO_0030383,con_0005,0.424497742357293
SUJETO_0030459,con_0005,0.963895066966855
SUJETO_0031826,con_0005,-0.302508159631454
SUJETO_0032413,con_0005,-0.0153616222825537
SUJETO_0033050,con_0005,-0.21568832618404
SUJETO_0034539,con_0005,-0.15597881914336
SUJETO_0036567,con_0005,0.0750010501878119
SUJETO_0040017,con_0005,-0.0604815295995857
SUJETO_0040081,con_0005,-0.0673724351047606
SUJETO_0048205,con_0005,0.2671462015847
SUJETO_0048533,con_0005,-0.29246594815144
SUJETO_0050473,con_0005,0.0872642680419594
SUJETO_0051018,con_0005,0.0316364862885122
SUJETO_0053568,con_0005,-0.316949243486927
SUJETO_0058378,con_0005,0.253606081130059
SUJETO_005868,con_0005,-0.257156792683603
SUJETO_0065422,con_0005,-0.192369932754579
SUJETO_0066360,con_0005,0.701082597600251
SUJETO_0068071,con_0005,0.0203971044260751
SUJETO_0068784,con_0005,-0.460539205716752
SUJETO_0071765,con_0005,-0.501689612380857
SUJETO_0073050,con_0005,0.00226936092963669
SUJETO_0073105,con_0005,0.271887477960559
SUJETO_0073942,con_0005,-1.07536406245658
SUJETO_0074431,con_0005,-0.680038679603154
SUJETO_0BF947EC,con_0005,-0.10724168579185
SUJETO_2C6C72AD,con_0005,-0.554794037729744
SUJETO_85DB03A2,con_0005,0.858113024535218
SUJETO_A90BAD1A,con_0005,0.0233256433469554
SUJETO_DABE6ACB,con_0005,-0.245134649457546
SUJETO_0000621,con_0006,-0.266668487993273
SUJETO_0005719,con_0006,-0.229314287596314
SUJETO_0006562,con_0006,0.143415162585888
SUJETO_0012643,con_0006,0.538067984440159
SUJETO_0014011,con_0006,-0.149011181603087
SUJETO_0014895,con_0006,0.490667085458593
SUJETO_0016883,con_0006,-0.273082402769506
SUJETO_0020285,con_0006,-0.610140215832649
SUJETO_0020703,con_0006,-0.355867971014989
SUJETO_0020974,con_0006,-0.955541760940862
SUJETO_0025948,con_0006,0.393304144221593
SUJETO_0026622,con_0006,-0.487094529359261
SUJETO_0027033,con_0006,0.598415105320642
SUJETO_0027510,con_0006,-0.0865558074953837
SUJETO_0028207,con_0006,-0.337440396367565
SUJETO_0030383,con_0006,0.0915004231103855
SUJETO_0030459,con_0006,1.15719949641848
SUJETO_0031826,con_0006,-0.814441757231224
SUJETO_0032413,con_0006,0.143038761037273
SUJETO_0033050,con_0006,0.311947056013765
SUJETO_0034539,con_0006,0.203076264289079
SUJETO_0036567,con_0006,0.262787077886363
SUJETO_0040017,con_0006,0.0355055984261075
SUJETO_0040081,con_0006,-0.358102735015564
SUJETO_0048205,con_0006,1.05571895032152
SUJETO_0048533,con_0006,-0.602837106561273
SUJETO_0050473,con_0006,-0.44234922576726
SUJETO_0051018,con_0006,-0.00410976659362697
SUJETO_0053568,con_0006,0.0799345406779368
SUJETO_0058378,con_0006,0.818000973967033
SUJETO_005868,con_0006,-0.11070795769082
SUJETO_0065422,con_0006,-0.174836511504117
SUJETO_0066360,con_0006,0.0447900255051691
SUJETO_0068071,con_0006,0.127637734256185
SUJETO_0068784,con_0006,-0.400889690745834
SUJETO_0071765,con_0006,0.501239835731382
SUJETO_0073050,con_0006,0.576709782727426
SUJETO_0073105,con_0006,0.511699903435528
SUJETO_0073942,con_0006,-0.0665828737362129
SUJETO_0074431,con_0006,0.0429655936386257
SUJETO_0BF947EC,con_0006,-0.204010915711552
SUJETO_2C6C72AD,con_0006,-0.274545671766609
SUJETO_85DB03A2,con_0006,2.39875729442612
SUJETO_A90BAD1A,con_0006,-0.285898227358191
SUJETO_DABE6ACB,con_0006,-0.662209702125652
SUJETO_0000621,con_0007,-0.0642951134349999
SUJETO_0005719,con_0007,0.153354196537301
SUJETO_0006562,con_0007,-0.216165371356547
SUJETO_0012643,con_0007,0.740596519253118
SUJETO_0014011,con_0007,0.193444946926557
SUJETO_0014895,con_0007,0.581239735101902
SUJETO_0016883,con_0007,0.451628718926473
SUJETO_0020285,con_0007,-0.560119165955641
SUJETO_0020703,con_0007,-0.506711988925661
SUJETO_0020974,con_0007,-0.17193902481671
SUJETO_0025948,con_0007,0.756784640328308
SUJETO_0026622,con_0007,-0.250714050097168
SUJETO_0027033,con_0007,1.33368084391927
SUJETO_0027510,con_0007,0.0252534201100958
SUJETO_0028207,con_0007,-0.0556358260359772
SUJETO_0030383,con_0007,-0.075236475897756
SUJETO_0030459,con_0007,1.36857707640989
SUJETO_0031826,con_0007,-0.80501882913636
SUJETO_0032413,con_0007,-0.0899867522265247
SUJETO_0033050,con_0007,-0.177146821504277
SUJETO_0034539,con_0007,0.583611466993797
SUJETO_0036567,con_0007,-0.436820364216479
SUJETO_0040017,con_0007,0.380544770993595
SUJETO_0040081,con_0007,0.0588362550718343
SUJETO_0048205,con_0007,-0.209543988610262
SUJETO_0048533,con_0007,-0.102324210627905
SUJETO_0050473,con_0007,-0.28904759896374
SUJETO_0051018,con_0007,0.533317666743102
SUJETO_0053568,con_0007,-0.0819984009715149
SUJETO_0058378,con_0007,1.15333375358969
SUJETO_005868,con_0007,0.131456777456262
SUJETO_0065422,con_0007,-0.0828972548298462
SUJETO_0066360,con_0007,-0.391728390941427
SUJETO_0068071,con_0007,0.449872177109365
SUJETO_0068784,con_0007,1.24599146503743
SUJETO_0071765,con_0007,-0.037950765063141
SUJETO_0073050,con_0007,0.568776154996661
SUJETO_0073105,con_0007,0.535554942197916
SUJETO_0073942,con_0007,-0.25179486975407
SUJETO_0074431,con_0007,0.0137603819792394
SUJETO_0BF947EC,con_0007,-0.12135064603034
SUJETO_2C6C72AD,con_0007,-0.249484278212445
SUJETO_85DB03A2,con_0007,1.51978817388294
SUJETO_A90BAD1A,con_0007,-0.403101935149814
SUJETO_DABE6ACB,con_0007,-0.606791351020821
SUJETO_0000621,con_0008,-0.165945029114297
SUJETO_0005719,con_0008,0.24605219308249
SUJETO_0006562,con_0008,0.387854250223656
SUJETO_0012643,con_0008,0.721597398199686
SUJETO_0014011,con_0008,0.0906412844750576
SUJETO_0014895,con_0008,0.170611606831322
SUJETO_0016883,con_0008,0.443309268228922
SUJETO_0020285,con_0008,-0.303918778578319
SUJETO_0020703,con_0008,-0.108035331915655
SUJETO_0020974,con_0008,-0.519246606534816
SUJETO_0025948,con_0008,0.84056494875652
SUJETO_0026622,con_0008,0.559951787314764
SUJETO_0027033,con_0008,1.11739454388134
SUJETO_0027510,con_0008,-0.42264566813005
SUJETO_0028207,con_0008,0.0691779867889799
SUJETO_0030383,con_0008,-0.436747222139341
SUJETO_0030459,con_0008,0.538289370454424
SUJETO_0031826,con_0008,-0.482903515700463
SUJETO_0032413,con_0008,0.000990809256597081
SUJETO_0033050,con_0008,-0.28267494850315
SUJETO_0034539,con_0008,0.784857443329401
SUJETO_0036567,con_0008,-0.0966756557581977
SUJETO_0040017,con_0008,0.602382195007995
SUJETO_0040081,con_0008,-0.702233698309922
SUJETO_0048205,con_0008,0.088555873949005
SUJETO_0048533,con_0008,-0.0467063477376431
SUJETO_0050473,con_0008,0.00154004491509764
SUJETO_0051018,con_0008,0.443859425256014
SUJETO_0053568,con_0008,0.237510351123425
SUJETO_0058378,con_0008,0.282603985584545
SUJETO_005868,con_0008,0.37066174474189
SUJETO_0065422,con_0008,-0.211669857195404
SUJETO_0066360,con_0008,0.315661446229229
SUJETO_0068071,con_0008,0.208755915954224
SUJETO_0068784,con_0008,0.815414043945995
SUJETO_0071765,con_0008,0.741840076761517
SUJETO_0073050,con_0008,0.587745217046117
SUJETO_0073105,con_0008,0.509956293474368
SUJETO_0073942,con_0008,0.124257894853751
SUJETO_0074431,con_0008,0.230091869019964
SUJETO_0BF947EC,con_0008,0.755425206801998
SUJETO_2C6C72AD,con_0008,-0.512728387626206
SUJETO_85DB03A2,con_0008,1.66708770636621
SUJETO_A90BAD1A,con_0008,-0.956678723833122
SUJETO_DABE6ACB,con_0008,-0.851715554033664
SUJETO_0000621,con_0009,-0.239938652014163
SUJETO_0005719,con_0009,-0.399634481082118
SUJETO_0006562,con_0009,0.163610243025554
SUJETO_0012643,con_0009,0.501434781565899
SUJETO_0014011,con_0009,0.310953183171559
SUJETO_0014895,con_0009,-0.244178983738515
SUJETO_0016883,con_0009,0.176210001436142
SUJETO_0020285,con_0009,-0.680693436928881
SUJETO_0020703,con_0009,0.0305071458030242
SUJETO_0020974,con_0009,-0.381688451199467
SUJETO_0025948,con_0009,0.461382339076268
SUJETO_0026622,con_0009,0.697785303965817
SUJETO_0027033,con_0009,1.30645462846368
SUJETO_0027510,con_0009,-0.0681644016971463
SUJETO_0028207,con_0009,-0.0798858321892719
SUJETO_0030383,con_0009,-0.295313059761212
SUJETO_0030459,con_0009,0.185851615947308
SUJETO_0031826,con_0009,-0.527786261939663
SUJETO_0032413,con_0009,-0.0784803817334502
SUJETO_0033050,con_0009,-0.546316875536676
SUJETO_0034539,con_0009,0.960522053202962
SUJETO_0036567,con_0009,0.141820147634499
SUJETO_0040017,con_0009,0.247260379056045
SUJETO_0040081,con_0009,-0.0777831068432822
SUJETO_0048205,con_0009,-0.67294755481123
SUJETO_0048533,con_0009,-0.0667632506825257
SUJETO_0050473,con_0009,0.0213628249504126
SUJETO_0051018,con_0009,-0.0237018457515453
SUJETO_0053568,con_0009,-0.639560058470664
SUJETO_0058378,con_0009,-0.00986114753281501
SUJETO_005868,con_0009,0.269731847887359
SUJETO_0065422,con_0009,0.0824595385465801
SUJETO_0066360,con_0009,-1.61164447834821
SUJETO_0068071,con_0009,-0.133113119846098
SUJETO_0068784,con_0009,1.0549975259275
SUJETO_0071765,con_0009,0.208493006074937
SUJETO_0073050,con_0009,0.760619387394044
SUJETO_0073105,con_0009,0.508214567008057
SUJETO_0073942,con_0009,-0.427752912726927
SUJETO_0074431,con_0009,0.0938909798652327
SUJETO_0BF947EC,con_0009,-0.0263920207091463
SUJETO_2C6C72AD,con_0009,-0.541933111301283
SUJETO_85DB03A2,con_0009,-0.265421123932896
SUJETO_A90BAD1A,con_0009,-0.290581470688548
SUJETO_DABE6ACB,con_0009,-1.09345875207971
SUJETO_0000621,con_0010,-0.217036076961464
SUJETO_0005719,con_0010,-0.980801096776637
SUJETO_0006562,con_0010,0.681396643078424
SUJETO_0012643,con_0010,-0.0771302694866029
SUJETO_0014011,con_0010,-1.0991019051734
SUJETO_0014895,con_0010,-0.334045966044617
SUJETO_0016883,con_0010,0.839263496602454
SUJETO_0020285,con_0010,0.137097244831209
SUJETO_0020703,con_0010,0.0540607659121582
SUJETO_0020974,con_0010,-0.449902520636172
SUJETO_0025948,con_0010,-0.169480894372337
SUJETO_0026622,con_0010,1.00489270154054
SUJETO_0027033,con_0010,0.111893383663042
SUJETO_0027510,con_0010,0.193965093143723
SUJETO_0028207,con_0010,0.296554726003328
SUJETO_0030383,con_0010,0.131371313696576
SUJETO_0030459,con_0010,0.636700528605682
SUJETO_0031826,con_0010,0.260620313034037
SUJETO_0032413,con_0010,-0.131331883917934
SUJETO_0033050,con_0010,-0.120153730831722
SUJETO_0034539,con_0010,0.70304291325856
SUJETO_0036567,con_0010,0.125096709263034
SUJETO_0040017,con_0010,0.0111791591266004
SUJETO_0040081,con_0010,0.0548685180956528
SUJETO_0048205,con_0010,0.0923275490281006
SUJETO_0048533,con_0010,0.210463736897687
SUJETO_0050473,con_0010,0.297821471390004
SUJETO_0051018,con_0010,-0.00425215177919443
SUJETO_0053568,con_0010,0.104874794798282
SUJETO_0058378,con_0010,0.0343258569236633
SUJETO_005868,con_0010,-0.107239646636464
SUJETO_0065422,con_0010,0.311317960178949
SUJETO_0066360,con_0010,0.217872096134759
SUJETO_0068071,con_0010,-0.150109183488435
SUJETO_0068784,con_0010,-0.284778804762471
SUJETO_0071765,con_0010,0.785557856283537
SUJETO_0073050,con_0010,0.519617403304674
SUJETO_0073105,con_0010,0.380666251831908
SUJETO_0073942,con_0010,0.517753508865712
SUJETO_0074431,con_0010,0.164515103910088
SUJETO_0BF947EC,con_0010,-0.199178396975924
SUJETO_2C6C72AD,con_0010,-0.62861095429436
SUJETO_85DB03A2,con_0010,0.801720843138363
SUJETO_A90BAD1A,con_0010,-0.140538414016487
SUJETO_DABE6ACB,con_0010,-0.262732603011759
SUJETO_0000621,con_0011,0.190398703374695
SUJETO_0005719,con_0011,-0.610550800080949
SUJETO_0006562,con_0011,0.0653974798023398
SUJETO_0012643,con_0011,0.543554168043098
SUJETO_0014011,con_0011,-0.873744995613408
SUJETO_0014895,con_0011,-0.451169693373083
SUJETO_0016883,con_0011,-0.494767473844009
SUJETO_0020285,con_0011,0.00900893983983897
SUJETO_0020703,con_0011,0.402645837969896
SUJETO_0020974,con_0011,-0.0240582212529143
SUJETO_0025948,con_0011,-0.751213169800557
SUJETO_0026622,con_0011,0.59142553732102
SUJETO_0027033,con_0011,-0.500638372575243
SUJETO_0027510,con_0011,0.331849148798908
SUJETO_0028207,con_0011,0.273530533404763
SUJETO_0030383,con_0011,0.100870343061482
SUJETO_0030459,con_0011,0.936464211320489
SUJETO_0031826,con_0011,1.14955636580301
SUJETO_0032413,con_0011,-0.206938499986096
SUJETO_0033050,con_0011,-0.340234036894082
SUJETO_0034539,con_0011,-0.601285193509203
SUJETO_0036567,con_0011,0.607643643166961
SUJETO_0040017,con_0011,-0.589037055649408
SUJETO_0040081,con_0011,0.05458301232053
SUJETO_0048205,con_0011,-0.143709415234616
SUJETO_0048533,con_0011,0.00311482052605176
SUJETO_0050473,con_0011,0.0796814783887059
SUJETO_0051018,con_0011,0.24781478305794
SUJETO_0053568,con_0011,-0.0527673755598262
SUJETO_0058378,con_0011,-0.623708592803498
SUJETO_005868,con_0011,0.887566242276168
SUJETO_0065422,con_0011,-0.0484215856560059
SUJETO_0066360,con_0011,-0.108798976710286
SUJETO_0068071,con_0011,0.101388298925315
SUJETO_0068784,con_0011,0.257637459826391
SUJETO_0071765,con_0011,0.219285379505477
SUJETO_0073050,con_0011,-0.508530822527648
SUJETO_0073105,con_0011,-0.0921797310674139
SUJETO_0073942,con_0011,1.22124475519347
SUJETO_0074431,con_0011,-0.29848713907451
SUJETO_0BF947EC,con_0011,0.0123166682168357
SUJETO_2C6C72AD,con_0011,-0.150237693518071
SUJETO_85DB03A2,con_0011,-0.552243244202005
SUJETO_A90BAD1A,con_0011,1.20796770923506
SUJETO_DABE6ACB,con_0011,-0.816568958323176
SUJETO_0000621,con_0012,0.393620526160651
SUJETO_0005719,con_0012,-1.06585373602262
SUJETO_0006562,con_0012,-0.00867923490851701
SUJETO_0012643,con_0012,-0.278435240527123
